uniprot,gene_symbol,status,pdb_path,pae_path,sha256_pdb,retrieved_at,notes
Q9UJ55,MAGEL2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9UJ55/Q9UJ55.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9UJ55/Q9UJ55_pae.json,4336fe12e23086d28ea64c03c86f449730e9e8685a11c63e93b09c2d584805b7,2026-02-11 23:51:50,
Q16665,HIF1A,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q16665/Q16665.pdb,research/alphafold_countercurvature/data/raw/afdb/Q16665/Q16665_pae.json,b52ee60205a9de2b6164d1510c3bb01ad370c08d7288a2ae21a0d52c93a5e7b4,2026-02-13 03:55:56,
Q7RTM1,OTOP1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q7RTM1/Q7RTM1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q7RTM1/Q7RTM1_pae.json,7fb9199cd653f40265a08ce0b1528997e455e590237a02729dc52874f42bc8ce,2026-02-13 03:56:35,
P20393,NR1D1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P20393/P20393.pdb,research/alphafold_countercurvature/data/raw/afdb/P20393/P20393_pae.json,ac9f7a559e4de8459d4a45cb2aff01dab2ec91629cf1f9bfe4438469dc6b4143,2026-02-13 03:56:37,
Q02809,PLOD1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q02809/Q02809.pdb,research/alphafold_countercurvature/data/raw/afdb/Q02809/Q02809_pae.json,4f761340c9bbd4d0a07bc9e97bb3abd45d5652b4e86e8613f9cf6daba79834d5,2026-02-13 03:56:53,
Q6NSZ9,CCDC57,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q6NSZ9/Q6NSZ9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q6NSZ9/Q6NSZ9_pae.json,afd990a47501ad3db051fef121dff32bd552d0e0185bd0e129fdbd534ad25fa6,2026-02-13 03:57:24,
P28347,TEAD1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P28347/P28347.pdb,research/alphafold_countercurvature/data/raw/afdb/P28347/P28347_pae.json,a759ee997540556a3808dcbdd66f4182a9ca7df3cce5d00d6116f1698492a490,2026-02-13 03:57:28,
O15516,CLOCK,downloaded,research/alphafold_countercurvature/data/raw/afdb/O15516/O15516.pdb,research/alphafold_countercurvature/data/raw/afdb/O15516/O15516_pae.json,46035fff7d649bc4fba71d6979dde97a2b8c55c7bda5c63f191bfc7c66eda2d1,2026-02-13 03:57:30,
P50454,SERPINH1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P50454/P50454.pdb,research/alphafold_countercurvature/data/raw/afdb/P50454/P50454_pae.json,fc1af95ed9a59f5ea7f7bfb5b1aa88b4a75631d86e52a8c22f7f295d1a9fd7bb,2026-02-13 03:57:31,
P35556,FBN2,downloaded,research/alphafold_countercurvature/data/raw/afdb/P35556/P35556.pdb,research/alphafold_countercurvature/data/raw/afdb/P35556/P35556_pae.json,064377786e840ae23faf71e5d3df9c984608130df8ba6f7cebb95eabbe6b4617,2026-02-13 03:57:34,
Q13402,MYO7A,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q13402/Q13402.pdb,research/alphafold_countercurvature/data/raw/afdb/Q13402/Q13402_pae.json,abf9bf409e15e5f296801896e487f72d633842082f3baf437f788f970ce2db18,2026-02-13 03:57:40,
Q9Y6J9,ETV1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y6J9/Q9Y6J9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y6J9/Q9Y6J9_pae.json,429d9f1967e8af2e64b1365c872e1c053aa55ccd712921f871c31ba304ac97d6,2026-02-13 03:57:42,
Q96AC1,FERMT2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q96AC1/Q96AC1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q96AC1/Q96AC1_pae.json,0842f7b652e83fa9010a1397ee4636a44d6d5a7ca502154125f317474f120cb1,2026-02-13 03:57:47,
Q9H251,CDH23,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9H251/Q9H251.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9H251/Q9H251_pae.json,92060253b8f6834f100e8d0b921d7196c0d988dedabd3584801c9a96dedc3bb4,2026-02-13 03:57:50,
P08123,COL1A2,downloaded,research/alphafold_countercurvature/data/raw/afdb/P08123/P08123.pdb,research/alphafold_countercurvature/data/raw/afdb/P08123/P08123_pae.json,95cbf2bc0762c73f86d9e24701875201bbd0fbde9128a18c3fe780385cf6ed42,2026-02-13 03:57:52,
Q01974,ROR2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q01974/Q01974.pdb,research/alphafold_countercurvature/data/raw/afdb/Q01974/Q01974_pae.json,020e8d3fe375795224c1c74ccdab6e15057bf57af755fb2f5ff69908a9c11a94,2026-02-13 03:57:55,
P36897,TGFBR1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P36897/P36897.pdb,research/alphafold_countercurvature/data/raw/afdb/P36897/P36897_pae.json,c662f3971129998de58816b2af3bd13e263bdb77b4cca4cd13a5b527cdc634fc,2026-02-13 03:57:59,
Q9Y496,KIF3A,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9Y496/Q9Y496.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9Y496/Q9Y496_pae.json,a96e2d72a195f20ca64894ce2c22a8d277dbf2c3a6405f39d3d7105439e738a6,2026-02-16 23:52:27,
P16112,ACAN,downloaded,research/alphafold_countercurvature/data/raw/afdb/P16112/P16112.pdb,research/alphafold_countercurvature/data/raw/afdb/P16112/P16112_pae.json,1add4f2ded43c6b5028716e2e2af73f1f73761a85709685d0e6d0bb3db9a2706,2026-02-16 23:52:31,
Q9GZV5,WWTR1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9GZV5/Q9GZV5.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9GZV5/Q9GZV5_pae.json,f178cab03a32048b285244137f52edba552667d4f5d32f7037c4440909c9e3c9,2026-02-16 23:52:33,
Q7Z2K8,ADGRG6,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q7Z2K8/Q7Z2K8.pdb,research/alphafold_countercurvature/data/raw/afdb/Q7Z2K8/Q7Z2K8_pae.json,ebc345ed1edf37d072075bb6baeed2f679b155d18512480ad22f586fadc296f9,2026-02-16 23:53:02,
O75369,FLNB,downloaded,research/alphafold_countercurvature/data/raw/afdb/O75369/O75369.pdb,research/alphafold_countercurvature/data/raw/afdb/O75369/O75369_pae.json,5aeedf0d255e19e3629c504190dccbf27b107d8190d361abf9dacca3e7b4b402,2026-02-16 23:53:06,
Q969V1,UTS2R,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q969V1/Q969V1.pdb,research/alphafold_countercurvature/data/raw/afdb/Q969V1/Q969V1_pae.json,7b12b12744e183bf943a2d3bdb2e2c125acf764749a33cd694189d4e12481f39,2026-02-16 23:53:08,
P48436,SOX9,downloaded,research/alphafold_countercurvature/data/raw/afdb/P48436/P48436.pdb,research/alphafold_countercurvature/data/raw/afdb/P48436/P48436_pae.json,8d959d14a32258f5faebf7884127890650d082e0487f8efa754d932c726313c0,2026-02-16 23:53:10,
Q9ULK5,VANGL2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9ULK5/Q9ULK5.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9ULK5/Q9ULK5_pae.json,4015ae849eecb2acffd45d629d8b08284cd3107665198c32c4b9feeaa4340013,2026-02-16 23:53:19,
P46531,NOTCH1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P46531/P46531.pdb,research/alphafold_countercurvature/data/raw/afdb/P46531/P46531_pae.json,f3259360cec318a3ae1b830c2705df9e923f41bfd5e6f8a9a6acc83fd3dd5ff3,2026-02-16 23:53:22,
Q8TAA9,VANGL1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q8TAA9/Q8TAA9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q8TAA9/Q8TAA9_pae.json,cfeebe66e19594209fea998c29a95d4348ec1cfe5eea738620184b1432cabe0c,2026-02-16 23:53:24,
P02458,COL2A1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P02458/P02458.pdb,research/alphafold_countercurvature/data/raw/afdb/P02458/P02458_pae.json,bdf0fc4ee27ae94293c3b01f0fafebb7e0ed727bfe4ba3fb3e47b2f5191df667,2026-02-16 23:54:00,
Q05397,PTK2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q05397/Q05397.pdb,research/alphafold_countercurvature/data/raw/afdb/Q05397/Q05397_pae.json,10073c787571e05184e8cab42d2b977a73ff5b49fe45fade981691bf72bb4892,2026-02-16 23:54:24,
Q13563,PKD2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q13563/Q13563.pdb,research/alphafold_countercurvature/data/raw/afdb/Q13563/Q13563_pae.json,5d367da98bffc93bc649e6c24fc29ba01e0c38f70c5554b2faab80dddd05b196,2026-02-16 23:54:27,
Q9NYJ7,DLL3,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9NYJ7/Q9NYJ7.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9NYJ7/Q9NYJ7_pae.json,692af034fb0b1a69d9b6e49c9fa7255b820b1c821c835b08a7f564816cfa0c07,2026-02-16 23:54:29,
P19022,CDH2,downloaded,research/alphafold_countercurvature/data/raw/afdb/P19022/P19022.pdb,research/alphafold_countercurvature/data/raw/afdb/P19022/P19022_pae.json,939c13893f15585c84e341378a02a6fc59fd10bf47e154e1382fa1dd91b7033d,2026-02-16 23:54:31,
P11362,FGFR1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P11362/P11362.pdb,research/alphafold_countercurvature/data/raw/afdb/P11362/P11362_pae.json,2e0f3358b09fb705d24b4f0b79cccd2ae0f4921c4d37e34d34f8b73e87c36061,2026-02-16 23:54:33,
Q9LBK6,HES7,not_found_afdb,,,,2026-02-16 23:54:34,
Q03431,PTH1R,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q03431/Q03431.pdb,research/alphafold_countercurvature/data/raw/afdb/Q03431/Q03431_pae.json,d77e5df34ab9f676b467eb61846bb8118d68295a2da80d94b909fd351e9b49af,2026-02-16 23:54:36,
Q14160,SCRIB,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q14160/Q14160.pdb,research/alphafold_countercurvature/data/raw/afdb/Q14160/Q14160_pae.json,bfff1f9a2df64f802fe2936f6db1da699d7576a5ac8ad31a486885e351a3c57d,2026-02-16 23:54:39,
P60709,ACTB,downloaded,research/alphafold_countercurvature/data/raw/afdb/P60709/P60709.pdb,research/alphafold_countercurvature/data/raw/afdb/P60709/P60709_pae.json,0dd9eff078abb2c98591049a7b8d5160fd4ec8cd2a365fef214bd7322bf98e0d,2026-02-16 23:54:40,
P07437,TUBB,downloaded,research/alphafold_countercurvature/data/raw/afdb/P07437/P07437.pdb,research/alphafold_countercurvature/data/raw/afdb/P07437/P07437_pae.json,a4bee84e1729e5fe27f59ed129879e13efcb016ee41054f73fb907d09df75ace,2026-02-16 23:54:42,
Q9HBA0,TRPV4,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9HBA0/Q9HBA0.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9HBA0/Q9HBA0_pae.json,158c4a0a5198230c35d0ca5b863d72eef6cf4eaac041d4f7d6efd2509bff7a44,2026-02-16 23:54:45,
Q9NYQ6,CELSR1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q9NYQ6/Q9NYQ6.pdb,research/alphafold_countercurvature/data/raw/afdb/Q9NYQ6/Q9NYQ6_pae.json,f52517bda6956337a556e1971bd6ed276f73e83f738c603cca13d56a167ee494,2026-02-16 23:54:48,
P12107,COL11A1,downloaded,research/alphafold_countercurvature/data/raw/afdb/P12107/P12107.pdb,research/alphafold_countercurvature/data/raw/afdb/P12107/P12107_pae.json,7be77d538ee5d6b8343d40379899c0b23eb708d42e8e4a98b468e3b3e8888a47,2026-02-16 23:54:51,
P24043,LAMA2,not_found_afdb,,,,2026-02-16 23:54:51,
P12644,BMP4,downloaded,research/alphafold_countercurvature/data/raw/afdb/P12644/P12644.pdb,research/alphafold_countercurvature/data/raw/afdb/P12644/P12644_pae.json,7b3581216c29595a01f55e4feafbbcd3da20192a45da61f1d59acd0615de4e23,2026-02-16 23:54:53,
P41221,WNT5A,downloaded,research/alphafold_countercurvature/data/raw/afdb/P41221/P41221.pdb,research/alphafold_countercurvature/data/raw/afdb/P41221/P41221_pae.json,da5f1cf92804241f9c7df29d3438dacf2a4c91d7d9feb8c38455ea6ad3f2e8c8,2026-02-16 23:54:55,
P49747,COMP,downloaded,research/alphafold_countercurvature/data/raw/afdb/P49747/P49747.pdb,research/alphafold_countercurvature/data/raw/afdb/P49747/P49747_pae.json,e57f191353e0d70b6fc292218eceaee347d99386ff346bc71c9a0ab0b4a08aa2,2026-02-16 23:54:56,
Q8TDX9,PKD1L1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q8TDX9/Q8TDX9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q8TDX9/Q8TDX9_pae.json,16e7e64306d60fe789a9ce8c833e1ab9bc38e99e4f5c86e9c8e81094ec4fa3da,2026-02-16 23:54:59,
Q15465,SHH,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q15465/Q15465.pdb,research/alphafold_countercurvature/data/raw/afdb/Q15465/Q15465_pae.json,d987710e1646af195c9645b4ecf8b07b518f58351f7aa0be4260a908f5732e25,2026-02-16 23:55:02,
Q13950,RUNX2,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q13950/Q13950.pdb,research/alphafold_countercurvature/data/raw/afdb/Q13950/Q13950_pae.json,2e6609d4d69bc2d5ddb24337e7ef75b05e139c7c55e42258e2e25fabfa722648,2026-02-16 23:55:04,
Q8NES3,LFNG,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q8NES3/Q8NES3.pdb,research/alphafold_countercurvature/data/raw/afdb/Q8NES3/Q8NES3_pae.json,cb0208fd691875228d9d78b22794ca8af601744b29c5d1b094298fdd8edd2de8,2026-02-16 23:55:06,
Q6ZMV9,KIF6,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q6ZMV9/Q6ZMV9.pdb,research/alphafold_countercurvature/data/raw/afdb/Q6ZMV9/Q6ZMV9_pae.json,4582130a99073dd4048851d348065083ec8b794433fccb71cf32bffab0e86d06,2026-02-16 23:55:08,
Q03135,CAV1,downloaded,research/alphafold_countercurvature/data/raw/afdb/Q03135/Q03135.pdb,research/alphafold_countercurvature/data/raw/afdb/Q03135/Q03135_pae.json,91e2ac4cb30f5aefa3a60ab44e6477fb55742b415bf366df62db566c1b76dd8d,2026-02-16 23:55:10,
